source,target,weight
Bruno Mars,Major Lazer,2
Bruno Mars,Tyga,7
Bruno Mars,Travie McCoy,5
Bruno Mars,Mystic Davis,5
Bruno Mars,B.o.B,4
Bruno Mars,2 Chainz,3
Bruno Mars,ROSÉ,3
Bruno Mars,Philip Lawrence,3
Bruno Mars,Nate Dogg,2
Bruno Mars,Trinidad James,2
Bruno Mars,Bone Thugs‐n‐Harmony,1
Bruno Mars,Justin Timberlake,1
Bruno Mars,Lady Gaga,1
Bruno Mars,Adele,1
Bruno Mars,Brody Brown,1
Bruno Mars,Dua Lipa,1
Major Lazer,Wild Belle,10
Major Lazer,Pharrell Williams,5
Major Lazer,Showtek,4
Major Lazer,Ariana Grande,3
Major Lazer,Tove Lo,3
Major Lazer,Ty Dolla $ign,3
Major Lazer,French Montana,3
Major Lazer,Machel Montano,3
Major Lazer,Tyga,2
Major Lazer,Mystic Davis,5
Major Lazer,Chronixx,2
Major Lazer,MOTi,2
Major Lazer,BEAM,2
Major Lazer,T.O.K.,2
Pharrell Williams,Justin Timberlake,2
Pharrell Williams,Ariana Grande,1
Pharrell Williams,Uffie,10
Pharrell Williams,Common,4
Pharrell Williams,Azealia Banks,4
Pharrell Williams,Clipse,3
Pharrell Williams,Pusha T,2
Pharrell Williams,Mike WiLL Made‐It,2
Pharrell Williams,JAY‐Z,2
Pharrell Williams,Slim Thug,2
Pharrell Williams,Keri Hilson,2
Ariana Grande,John Legend,2
Ariana Grande,Nicki Minaj,7
Ariana Grande,Jessie J,19
Ariana Grande,Machel Montano,2
Ariana Grande,Doja Cat,2
Ariana Grande,Megan Thee Stallion,2
Ariana Grande,Nathan Sykes,4
Ariana Grande,Graham Phillips,3
Ariana Grande,[theatre],2
Ariana Grande,The Shin Sekaï,1
Ariana Grande,Tchami,1
Ariana Grande,Bulgarian State Radio & Television Female Vocal Choir,1
Ariana Grande,Arturo Sandoval,1
Ariana Grande,Mac Miller,1
Ariana Grande,Dua Lipa,2
Tove Lo,Phoebe Ryan,2
Tove Lo,Dua Lipa,1
Tove Lo,Aazar,10
Tove Lo,Swae Lee,10
Tove Lo,Urban Cone,8
Tove Lo,SG Lewis,6
Tove Lo,Karma Fields,6
Tove Lo,Sean Paul,5
Tove Lo,Years & Years,2
Tove Lo,Alok,2
Tove Lo,Ilkay Sencan,2
Tove Lo,ALMA,2
Tove Lo,Dom Dolla,2
Tove Lo,Mc Zaac,2
Ty Dolla $ign,2 Chainz,2
Ty Dolla $ign,toasty digital,5
Ty Dolla $ign,Drake,1
Ty Dolla $ign,Destructo,8
Ty Dolla $ign,iLoveMakonnen,8
Ty Dolla $ign,YG,4
Ty Dolla $ign,Bobby Brackins,4
Ty Dolla $ign,Juicy J,3
Ty Dolla $ign,Mustard,3
Ty Dolla $ign,Glasses Malone,3
Ty Dolla $ign,Wiz Khalifa,2
Ty Dolla $ign,Dom Kennedy,2
Ty Dolla $ign,Ant Clemons,2
Ty Dolla $ign,Kris Kross Amsterdam,2
Ty Dolla $ign,Joe Moses,2
Ty Dolla $ign,R. Kelly,2
Ty Dolla $ign,Jeezy,2
Ty Dolla $ign,Casey Veggies,2
Ty Dolla $ign,Jeremih,2
Ty Dolla $ign,The Chainsmokers,4
French Montana,The Weeknd,2
French Montana,Fat Joe,8
French Montana,Chinx,6
French Montana,Remy Ma,4
French Montana,Max B,9
French Montana,Snoop Dogg,4
French Montana,Wale,4
French Montana,Diddy,3
French Montana,Cheeze,3
French Montana,Rick Ross,3
French Montana,The Game,3
French Montana,Wiz Khalifa,2
French Montana,DJ Drama,2
French Montana,DJ Smoke,2
French Montana,Meek Mill,2
French Montana,Chris Brown,2
French Montana,Stefflon Don,3
French Montana,Jeremih,4
Machel Montano,Xtatik,20
Machel Montano,Destra,3
Machel Montano,Patrice Roberts,2
Machel Montano,Umi Marcano,2
Tyga,Chris Brown,3
Tyga,Lil Wayne,2
Tyga,Gudda Gudda,4
Tyga,Jae Millz,2
Tyga,A.E,2
Tyga,Chief Keef,2
Tyga,Nipsey Hussle,2
Tyga,YG,2
Tyga,Fall Out Boy,2
Tyga,Travie McCoy,4
Tyga,Ye,2
Tyga,Paul Wall,2
Tyga,Skinhead Rob,2
Tyga,Lupe Fiasco,2
Tyga,Lil Jon,2
Tyga,Mystic Davis,5
Tyga,ScHoolboy Q,2
Tyga,Mack Maine,3
Mystic Davis,2 Chainz,3
Chris Brown,Rihanna,5
Chris Brown,Bow Wow,5
Chris Brown,Nicki Minaj,4
Chris Brown,Fat Joe,3
Chris Brown,Meek Mill,3
Chris Brown,Skeme,2
Chris Brown,Lil Wayne,2
Chris Brown,JAY‐Z,2
Chris Brown,Wale,2
Chris Brown,Kevin McCall,2
Chris Brown,Chandler Moore,4
Chris Brown,ScHoolboy Q,2
Chris Brown,Ester Dean,4
Chris Brown,H.E.R.,3
Chris Brown,Usher,2
Lil Wayne,Travie McCoy,2
Lil Wayne,2 Chainz,2
Lil Wayne,Metro Boomin,2
Lil Wayne,Rick Ross,5
Lil Wayne,will.i.am,3
Lil Wayne,Big Sean,5
Lil Wayne,T‐Pain,2
Lil Wayne,Birdman,11
Lil Wayne,Drake,3
Lil Wayne,Cory Gunz,6
Lil Wayne,Cassidy,2
Lil Wayne,Fabolous,2
Lil Wayne,Jeezy,2
Lil Wayne,Juelz Santana,2
Lil Wayne,DJ Drama,2
Lil Wayne,DJ Khaled,11
Lil Wayne,Pimp C,2
Lil Wayne,Static Major,10
Lil Wayne,Akon,4
Lil Wayne,Jay Rock,10
Lil Wayne,Mack Maine,41
Lil Wayne,Jeremih,3
Lil Wayne,DJ Whiteowl,24
Gudda Gudda,Mack Maine,10
Jae Millz,Mack Maine,10
Nipsey Hussle,Rick Ross,2
Nipsey Hussle,Ne‐Yo,4
Fall Out Boy,Travie McCoy,3
Travie McCoy,Taio Cruz,6
Travie McCoy,Kylie Minogue,6
Travie McCoy,Stooshe,5
Travie McCoy,Kelly Rowland,5
Travie McCoy,T‐Pain,3
Travie McCoy,Sia,2
Travie McCoy,Cassie Davis,2
Travie McCoy,Ye,2
