artist,num_collaborators,known_genres,dominant_collaborator_genre,dominant_collaborator_genre_count,top_5_collaborator_genres,has_metadata
*NSYNC,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
070 Shake,16,,R&B,2,"[('R&B', 2), ('Hip-Hop', 1), ('Pop', 1)]",False
1.Cuz,1,,Pop,1,"[('Pop', 1)]",False
100 gecs,2,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 1)]",False
2 Chainz,37,,Hip-Hop,7,"[('Hip-Hop', 7), ('R&B', 4), ('Pop', 3), ('Funk', 1)]",False
2 Mello,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
2 Unlimited,19,,Pop,5,"[('Pop', 5), ('Pop Rock', 1), ('Alternative', 1), ('Hip-Hop', 1), ('Dance', 1)]",False
2000 and One,1,,EDM,1,"[('EDM', 1)]",False
21 Savage,20,,R&B,4,"[('R&B', 4), ('Hip-Hop', 4), ('Reggaeton', 2), ('Pop', 2), ('Latin Trap', 1)]",False
24kGoldn,3,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Reggaeton', 1)]",False
2Malle,7,,R&B,4,"[('R&B', 4), ('Pop', 3), ('Hip-Hop', 2), ('Funk', 1)]",False
2Pac,36,,Hip-Hop,5,"[('Hip-Hop', 5), ('R&B', 4), ('Pop', 3), ('Funk', 1), ('Pop Rock', 1)]",False
3LAU,3,,Pop,2,"[('Pop', 2), ('R&B', 1), ('Country', 1), ('EDM', 1)]",False
40 Cobras,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
40 Glocc,7,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
42 Dugg,10,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
4batz,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
5 Seconds of Summer,2,,EDM,1,"[('EDM', 1)]",False
50 Cent,40,Hip-Hop,R&B,3,"[('R&B', 3), ('Hip-Hop', 3), ('Pop', 2), ('Alternative Rock', 1)]",True
5ERIOUS,2,,Pop,1,"[('Pop', 1), ('Dance', 1)]",False
5th Ward Weebie,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
6Blocc,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
6LACK,7,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1), ('EDM', 1)]",False
6ix9ine,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
702,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
88‐Keys,3,,,0,[],False
8Ball,10,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
8Ball & MJG,4,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
9th Wonder,7,,Hip-Hop,2,"[('Hip-Hop', 2), ('Pop', 1), ('Dance', 1), ('R&B', 1)]",False
A Boogie Wit da Hoodie,14,,EDM,1,"[('EDM', 1), ('Pop Rock', 1), ('Pop', 1)]",False
A Plus D,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
A Tribe Called Quest,3,,,0,[],False
A$AP Rocky,27,Hip-Hop,Hip-Hop,4,"[('Hip-Hop', 4), ('R&B', 3), ('Pop', 3), ('Alternative Pop', 1), ('Pop Rock', 1)]",True
A. Rose Jackson,4,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
A.B. Quintanilla III,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
A.L.,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
A7S,2,,EDM,1,"[('EDM', 1)]",False
ABBA,7,,Pop,2,"[('Pop', 2), ('Latin Pop', 1), ('Hip-Hop', 1), ('EDM', 1), ('Dance', 1)]",False
ABRA,1,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Trap', 1)]",False
AC/DC,3,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1), ('Hip-Hop', 1)]",False
AIM,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
AJ,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
AJ Tracey,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
ALMA,28,,Pop,4,"[('Pop', 4), ('Dance', 2), ('Dancehall', 1)]",False
ALTÈGO,2,,EDM,1,"[('EDM', 1)]",False
ANF,4,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 1)]",False
ARTBAT,2,,EDM,1,"[('EDM', 1)]",False
ASF,3,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
ATEEZ,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
AUDREY NUNA,5,,EDM,1,"[('EDM', 1)]",False
AWOLNATION,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
AYYBO,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
AZ,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Aaliyah,5,,R&B,4,"[('R&B', 4), ('Pop', 3), ('Hip-Hop', 1)]",False
Abel,4,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Abel Pintos,17,,Latin Pop,1,"[('Latin Pop', 1)]",False
Abraham Mateo,12,,EDM,1,"[('EDM', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
Abstract Mindstate,1,,,0,[],False
Ab‐Soul,20,,R&B,1,"[('R&B', 1), ('Hip-Hop', 1)]",False
Ace Hood,14,,Hip-Hop,2,"[('Hip-Hop', 2), ('Latin Pop', 1)]",False
Action Bronson,8,,Hip-Hop,2,"[('Hip-Hop', 2)]",False
