artist,success_score
Snoop Dogg,0.7500080649071126
Busta Rhymes,0.5944413489392765
Plácido Domingo,0.47975496711653887
Lil Wayne,0.4651777090298602
Pitbull,0.4524753671687103
Akon,0.4430618575669545
Andrea Bocelli,0.4311273069383753
T.I.,0.42992771658886575
David Guetta,0.42879263007937196
Bun B,0.4041471951228372
French Montana,0.3967400618523899
London Symphony Orchestra,0.3718390762112928
Rick Ross,0.36505654559921386
Kendrick Lamar,0.36214399556314836
E‐40,0.3575408146068338
The Game,0.356111841651271
Ye,0.3465243529488323
Pharrell Williams,0.33945427705017395
Chris Brown,0.3353629067199849
J Balvin,0.3179044465854709
Zion & Lennox,0.315782859421531
De La Ghetto,0.31399564452262974
Trae,0.31397309508815335
Orquestra de la Comunitat Valenciana,0.30521041566087836
Nicki Minaj,0.299619021877423
Gucci Mane,0.29887038863770493
KXNG Crooked,0.2933038006682124
Daddy Yankee,0.28519497758866313
Cor de la Generalitat Valenciana,0.2815387079996806
Vishal Dadlani,0.2813489565880928
Sheku Kanneh‐Mason,0.2804057075245737
Ana María Martínez,0.2740603997133076
Steve Aoki,0.2717732414401805
Kylie Minogue,0.2697829568476885
Ty Dolla $ign,0.2670497602149467
Major Lazer,0.2640508485414975
Mary J. Blige,0.260736662701347
Juicy J,0.25884783261477706
Wiz Khalifa,0.25760943899502126
Arturo Sandoval,0.25729399367535
Planet Asia,0.2568331480736785
Ludacris,0.25611479945669813
Farruko,0.25517464295686465
Ozuna,0.2551353609515259
Jadakiss,0.25450562150227957
DJ Kay Slay,0.25164957008526573
Fat Joe,0.2506206505690415
T‐Pain,0.24620892866639615
Ras Kass,0.24296429915181306
JAY‐Z,0.2426461059809163
2 Chainz,0.2385570569159713
Kurupt,0.23822289867600405
The Notorious B.I.G.,0.23806515659162023
Jim Jones,0.2378052582565791
Styles P,0.23522209348819506
Fabolous,0.2343661123226362
Mistah F.A.B.,0.23303317493545414
Ñengo Flow,0.23105622927507594
Raekwon,0.2296240632336411
A$AP Rocky,0.22804560538192165
Big Sean,0.22574896958997653
DJ Khaled,0.22501521229265967
Twista,0.22415748434971672
Arcángel,0.22112492458185723
Jeezy,0.22066716966105457
Diddy,0.2199089465364251
Freeway,0.21766926277127155
YG,0.21726238749070098
Paul Wall,0.2160201470346393
Talib Kweli,0.21517641714896363
Future,0.2149568313412814
Termanology,0.21445107792126122
J Álvarez,0.21098469066806674
Statik Selektah,0.2097393977618601
Royce da 5′9″,0.20812276826620976
DJ Drama,0.20701721159516925
[theatre],0.2062325779988809
Sean Price,0.20284470500385696
Pusha T,0.20270664985836892
N.O.R.E.,0.20179862153561792
Ghostface Killah,0.1975490236522723
Yo Gotti,0.19733822566988693
Tyga,0.19715908354757042
Dave East,0.1966010527420171
Dr. Dre,0.1940886835209628
Sean Paul,0.19269531899203074
Wisin,0.19145052895363682
Usher,0.1908837420063933
Peter Hoare,0.18979678258083016
2Pac,0.18973525616867387
Marco Armiliato,0.18778090837534894
Nile Rodgers,0.1867310625034107
Anitta,0.18642127593194308
Lil Jon,0.185368762879001
Lin‐Manuel Miranda,0.18493701695980644
Skyzoo,0.18285485438933058
Lil Yachty,0.18258780663396282
Eminem,0.1811071130837977
Snowgoons,0.17968046374906926
Armin van Buuren,0.17904692876544873
Quavo,0.17826638799732863
Darell,0.1781412292210567
Orchestra Sinfonica di Milano Giuseppe Verdi,0.17686603488900207
Almighty,0.17685160733538605
Nipsey Hussle,0.1756014744662817
Birdman,0.17510096554021304
Curren$y,0.1750127910271476
Nicky Jam,0.17391454641699006
Jowell & Randy,0.17375953984350567
Cosculluela,0.17313118196013044
Maino,0.1731300516204918
Ne‐Yo,0.17240028919500228
Yomo,0.1721899994179369
Rich the Kid,0.1701869325861317
Tiësto,0.17012978569861653
Diplo,0.1697146717639526
Tech N9ne,0.16967060054906205
Aloe Blacc,0.16533101098995637
Franco “El Gorila”,0.1640716795028857
Bryant Myers,0.16179951085090769
Jermaine Dupri,0.16141454104174294
Dimitri Vegas & Like Mike,0.1609875087213961
Young Thug,0.16083589966812742
Tony Touch,0.160516770936795
Clean Bandit,0.1600749160415255
Coro Sinfonico di Milano Giuseppe Verdi,0.15997673497378623
Brray,0.1596251318885765
Pete Tong,0.15885824273586646
Xzibit,0.15874230433517936
Rauw Alejandro,0.15733911346414806
Papoose,0.1553224844287509
Noriel,0.1550861354519545
Drake,0.1544608287486714
Maverick City Music,0.15249102019805366
Cam’ron,0.15185385591160372
Flo Rida,0.15069474834316446
Shabaam Sahdeeq,0.15009354055646743
Canibus,0.14921520522302048
Travis Scott,0.14916610678620662
Wale,0.14878008729860515
B‐Real,0.1484088157277208
Anuel AA,0.14830059573607357
Ransom,0.14780631734306277
Arijit Singh,0.14575624872244924
Kool G Rap,0.14548725408028215
Juanka,0.14545424262838322
Guelo Star,0.14529987322822763
Jennifer Lopez,0.14519479951424863
E.D.I. Mean,0.1447864372510457
Benny the Butcher,0.1443763382599809
Topic,0.1441577303191928
Jay Rock,0.1440948871090455
Lucio Gallo,0.1438842275037412
Fergie,0.14338937836290516
Voltio,0.14335323251161788
