artist1,artist2
Bruno Mars,Bone Thugs‐n‐Harmony
Travie McCoy,Bruno Mars
Justin Timberlake,Bruno Mars
Mystic Davis,Major Lazer
Mystic Davis,Tyga
Mystic Davis,Bruno Mars
Major Lazer,Tyga
Major Lazer,Bruno Mars
Tyga,Bruno Mars
Tyga,2 Chainz
Tyga,Bruno Mars
Tyga,Mystic Davis
Tyga,Major Lazer
2 Chainz,Bruno Mars
2 Chainz,Mystic Davis
2 Chainz,Major Lazer
Bruno Mars,Mystic Davis
Bruno Mars,Major Lazer
Mystic Davis,Major Lazer
Lady Gaga,Bruno Mars
Brody Brown,Philip Lawrence
Brody Brown,Adele
Brody Brown,Bruno Mars
Philip Lawrence,Adele
Philip Lawrence,Bruno Mars
Adele,Bruno Mars
Mystic Davis,Major Lazer
Mystic Davis,Tyga
Mystic Davis,Bruno Mars
Major Lazer,Tyga
Major Lazer,Bruno Mars
Tyga,Bruno Mars
Nate Dogg,Bruno Mars
Trinidad James,Bruno Mars
Travie McCoy,Bruno Mars
Philip Lawrence,Bruno Mars
Trinidad James,Bruno Mars
Bruno Mars,The Weeknd
Bruno Mars,Kendrick Lamar
Bruno Mars,Dua Lipa
Bruno Mars,The Chainsmokers
Bruno Mars,Sia
Bruno Mars,Daft Punk
Bruno Mars,Phoebe Ryan
Bruno Mars,Tove Lo
The Weeknd,Kendrick Lamar
The Weeknd,Dua Lipa
The Weeknd,The Chainsmokers
The Weeknd,Sia
The Weeknd,Daft Punk
The Weeknd,Phoebe Ryan
The Weeknd,Tove Lo
Kendrick Lamar,Dua Lipa
Kendrick Lamar,The Chainsmokers
Kendrick Lamar,Sia
Kendrick Lamar,Daft Punk
Kendrick Lamar,Phoebe Ryan
Kendrick Lamar,Tove Lo
Dua Lipa,The Chainsmokers
Dua Lipa,Sia
Dua Lipa,Daft Punk
Dua Lipa,Phoebe Ryan
Dua Lipa,Tove Lo
The Chainsmokers,Sia
The Chainsmokers,Daft Punk
The Chainsmokers,Phoebe Ryan
The Chainsmokers,Tove Lo
Sia,Daft Punk
Sia,Phoebe Ryan
Sia,Tove Lo
Daft Punk,Phoebe Ryan
Daft Punk,Tove Lo
Phoebe Ryan,Tove Lo
Bruno Mars,ROSÉ
Ed Sheeran,Bruno Mars
Ed Sheeran,Chris Stapleton
Bruno Mars,Chris Stapleton
Travie McCoy,Bruno Mars
Travie McCoy,Bruno Mars
DJ Surda,Bee Gees
