genre_1,genre_2,collaboration_count
Hip-Hop,R&B,1845
Hip-Hop,Hip-Hop,1238
Hip-Hop,Pop,1136
Pop,R&B,934
EDM,Pop,904
Pop,Pop,615
R&B,R&B,483
EDM,R&B,413
EDM,Hip-Hop,244
Reggaeton,Reggaeton,227
Dance,Pop,222
Latin Pop,Pop,186
Latin Pop,R&B,184
Latin Trap,Reggaeton,165
Dance,R&B,139
Hip-Hop,Reggaeton,128
Hip-Hop,Latin Pop,114
Hip-Hop,Pop Rock,107
Pop Rock,R&B,93
Dance,EDM,87
Pop,Pop Rock,85
Latin Pop,Reggaeton,80
Pop,Reggaeton,79
Alternative Pop,Pop,77
Country,Pop,69
Alternative,Pop,66
EDM,Soul,66
EDM,Reggaeton,65
Alternative,R&B,65
R&B,Reggaeton,62
EDM,Pop Rock,54
EDM,Latin Pop,53
Alternative Rock,Hip-Hop,46
Pop,Rock,45
Funk,Pop,44
Alternative Pop,R&B,44
Country,Hip-Hop,44
Latin Pop,Latin Pop,42
Hip-Hop,Latin Trap,41
Funk,Hip-Hop,38
Dance,Rock,36
Alternative,Hip-Hop,33
Dance,Hip-Hop,32
Latin Trap,R&B,32
Alternative,EDM,29
Latin Trap,Pop,25
Dance,Reggaeton,20
Alternative Pop,Hip-Hop,20
Dancehall,Pop,20
Alternative Pop,Country,18
Dance,Funk,16
K‑Pop,Pop,15
Pop,Soul,14
EDM,Funk,13
Hip-Hop,Rock,13
Funk,R&B,12
Dancehall,Hip-Hop,12
Dancehall,Latin Pop,12
Dancehall,EDM,11
Dance,Latin Pop,11
K‑Pop,R&B,11
Dance,Latin Trap,11
Dancehall,Reggaeton,10
Dance,Dancehall,10
EDM,EDM,9
Dancehall,R&B,9
R&B,Soul,8
Latin Trap,Latin Trap,8
R&B,Rock,8
Hip-Hop,Soul,7
Latin Pop,Pop Rock,6
Alternative,Alternative Pop,6
Latin Pop,Soul,6
Dance,K‑Pop,4
Latin Pop,Regional Mexican,4
Pop Rock,Reggaeton,4
Funk,Latin Pop,3
EDM,Latin Trap,3
Country,EDM,3
Dance,Pop Rock,2
Alternative Pop,Latin Pop,2
Alternative Pop,EDM,2
Bollywood,Hip-Hop,2
Bollywood,Latin Pop,2
Alternative,Dance,2
Alternative Pop,Dance,2
Dance,Soul,2
Hip-Hop,Psychedelic Rock,2
Dance,Dance,2
Funk,Soul,1
Alternative,Latin Trap,1
Alternative,Reggaeton,1
Pop,Psychedelic Rock,1
Psychedelic Rock,R&B,1
Country,R&B,1
Pop Rock,Rock,1
Dancehall,Pop Rock,1
Alternative,Dancehall,1
Bollywood,Pop,1
Alternative,Rock,1
Hip-Hop,Regional Mexican,1
R&B,Regional Mexican,1
Alternative Rock,Pop,1
Latin Trap,Pop Rock,1
Latin Pop,Latin Trap,1
Alternative Rock,R&B,1
